SalesID,Date,QuantitySold,TotalAmount,DiscountAmount,NetAmount,CustomerID,SupplierID,ShipperID,ProductID
32,2022-01-22,86,85581.18,227.78,85353.4,32,36,10,4973
33,2022-11-22,85,54579.35,23.36,54555.99,33,38,17,4997
34,2022-03-25,13,4732.13,42.55,4689.58,34,30,16,4956
35,2022-10-04,37,16024.7,93.32,15931.38,35,26,10,4954
36,10-27-2021,38,16457.8,8.02,16449.78,36,26,17,4995
37,2023-01-28,44,28648.84,68.57,28580.27,37,39,16,4963
38,2022-01-13,92,60016.2,20.67,59995.530000000006,38,36,15,4989
39,2022-04-10,59,22807.63,92.33,22715.3,39,33,15,4999
40,12-10-2021,73,63718.05,259.12,63458.93,40,39,17,4966
41,2021-11-20,55,2542.65,10.42,2532.23,41,24,12,4995
42,2022-02-16,95,41022.9,89.46,40933.44,42,21,10,4982
43,2022-12-07,61,39717.71,27.58,39690.13,43,21,16,4963
44,2022-11-09,54,35226.9,12.93,35213.97,44,28,10,4989
45,2022-03-08,59,49571.21000000001,155.38,49415.83000000001,45,36,15,4976
46,2023-06-10,67,44223.35,151.1,44072.25,46,38,15,4996
47,2022-12-04,74,34120.66,124.19,33996.469999999994,47,13,10,4977
48,2022-12-13,87,37679.7,89.28,37590.420000000006,48,36,10,4954
49,2022-07-17,51,18564.51,74.9,18489.61,49,22,15,4956
50,2022-10-31,55,21261.35,26.76,21234.59,50,28,12,4999
51,2022-03-28,32,31844.16,227.24,31616.92,4439,30,17,4973
52,2022-11-05,83,3837.09,6.69,3830.4,52,30,18,4949
53,2023-01-19,58,57717.54,85.83,57631.71,53,39,18,4995
54,2021-11-18,11,9321.73,213.23,9108.5,54,21,12,4994
55,05-03-2023,17,1156.17,3.52,1152.65,55,27,15,4974
56,12-11-2022,52,22454.64,53.79,22400.85,56,30,18,4982
57,2023-01-13,90,20593.8,16.26,20577.54,57,35,17,4967
58,05-16-2023,74,62709.82,200.44,62509.38,58,33,17,4994
59,2023-09-12,40,33897.2,186.81,33710.39,59,21,16,4994
60,2023-03-29,37,14303.09,80.37,14222.72,60,24,12,4999
61,2023-06-04,13,5613.66,128.94,5484.72,61,32,10,4982
62,2022-01-28,43,18623.3,5.83,18617.47,62,31,10,4954
63,2023-03-21,85,5780.85,16.4,5764.450000000001,63,34,10,4974
64,05-08-2023,57,36600.27,14.5,36585.77,64,33,15,4995
65,2023-06-11,18,8299.619999999999,58.0,8241.619999999999,65,27,10,4977
66,2023-06-01,90,57789.9,23.02,57766.880000000005,66,40,15,4997
67,2021-12-22,13,12093.9,262.29,11831.61,3614,34,18,4998
68,01-14-2023,98,4530.54,9.42,4521.12,68,34,16,4949
69,2021-11-17,82,71573.7,217.43,71356.27,69,40,12,4966
70,2022-07-21,5,1343.0500000000002,30.65,1312.4,70,21,10,4991
71,2022-07-05,53,50431.09,112.76,50318.33,71,21,18,4923
72,2022-05-13,21,13699.35,44.13,13655.22,72,30,18,4989
73,2023-08-09,70,4760.700000000001,7.75,4752.950000000001,73,33,15,4974
74,2022-06-30,37,1710.51,9.65,1700.86,74,34,12,4949
75,2023-06-20,92,59902.12,103.64,59798.48,75,22,17,4963
76,2023-03-10,46,10525.72,57.35,10468.37,76,22,12,4967
77,2023-05-12,59,49998.37,17.49,49980.88,77,30,18,4994
78,2022-01-05,68,44359.8,125.45,44234.350000000006,3254,35,16,4995
79,2023-07-02,55,54732.15,34.46,54697.69,79,26,10,4995
80,2023-02-16,88,58084.4,6.07,58078.33,80,27,17,4996
81,2022-08-27,83,18992.06,42.58,18949.48,81,35,16,4967
82,2022-11-09,14,8989.54,15.97,8973.570000000002,82,27,17,4995
83,2023-09-09,84,3883.32,9.11,3874.21,83,28,15,4949
84,2023-01-30,17,7362.700000000001,92.69,7270.010000000001,84,34,18,4954
85,2023-06-26,77,71633.09999999999,250.2,71382.9,2680,35,10,4998
86,2022-10-17,88,34018.16,67.27,33950.89,86,28,12,4999
87,2022-10-07,39,25741.95,187.03,25554.92,87,29,18,4996
88,2023-04-22,90,62405.1,45.74,62359.36,88,31,17,4995
89,2023-08-04,61,39717.71,62.71,39655.0,89,40,10,4963
90,2023-06-19,76,49578.6,157.95,49420.65,90,33,16,4989
91,09-15-2022,45,2080.35,12.51,2067.84,91,31,15,4949
92,2023-03-01,81,3744.63,1.13,3743.5,92,27,16,4949
93,2023-05-14,62,4216.62,9.58,4207.04,93,32,10,4974
94,03-29-2023,50,34669.5,139.61,34529.89,94,24,16,4990
95,2023-09-25,74,62174.060000000005,60.16,62113.9,95,37,10,4976
96,2023-05-12,53,52741.89,268.27,52473.62,96,36,18,4973
97,10-12-2022,41,18904.69,88.94,18815.75,97,39,18,4977
98,2023-01-18,48,45673.44,234.59,45438.850000000006,98,24,17,4923
99,2022-12-30,16,15224.48,220.89,15003.59,99,27,16,4923
100,2022-07-22,67,62330.1,41.67,62288.43,100,34,18,4998
101,2022-07-02,93,64485.27,198.55,64286.72,101,29,18,4990
102,2023-03-22,1,651.11,109.18,541.9300000000001,102,22,15,4963
103,2022-08-22,79,5372.79,17.68,5355.11,103,28,16,4974
104,2021-10-18,91,39295.62,93.94,39201.68,104,40,10,4982
105,2023-06-11,90,78556.5,125.79,78430.71,105,33,10,4966
106,2022-06-23,68,67668.84,296.11,67372.73,106,29,16,4973
107,2023-03-28,23,20075.55,85.24,19990.31,107,35,18,4966
108,2022-12-21,48,45673.44,68.75,45604.69,2215,29,18,4923
109,2022-08-28,33,32839.29,251.34,32587.95,109,38,17,4995
110,03-01-2022,83,5644.830000000001,14.43,5630.400000000001,110,32,17,4974
111,2021-10-31,98,42318.36,102.45,42215.91,111,24,16,4982
112,2022-12-31,18,11557.98,155.14,11402.84,3699,28,10,4997
113,06-02-2022,3,1383.27,22.37,1360.9,113,35,17,4977
114,2023-03-26,99,64582.65,89.62,64493.03,114,30,12,4989
115,2021-10-10,8,5208.88,38.98,5169.900000000001,115,27,17,4963
116,2023-02-17,83,35841.06,40.16,35800.899999999994,116,31,16,4982
117,2022-09-07,77,76625.01,65.38,76559.62999999999,117,38,12,4973
118,2022-03-18,92,4253.16,4.91,4248.25,118,36,15,4949
119,12-08-2021,56,36962.8,142.31,36820.49,119,38,16,4995
120,2022-07-19,84,30576.84,96.6,30480.24,120,30,15,4956
121,2023-09-16,59,22807.63,102.27,22705.36,121,28,18,4999
122,2023-06-12,23,8372.23,22.75,8349.48,122,33,18,4956
123,2023-07-09,95,80505.84999999999,114.26,80391.59,123,34,17,4994
124,2022-07-09,46,42793.8,154.36,42639.44,124,35,15,4998
125,2023-05-21,37,32295.45,122.54,32172.91,125,24,12,4995
126,09-12-2022,47,2172.81,13.79,2159.02,126,28,18,4995
127,03-24-2022,73,4964.7300000000005,4.38,4960.35,127,24,12,4974
128,09-26-2023,97,42010.7,52.73,41957.97,128,29,16,4954
129,2021-11-09,7,6109.95,2.62,6107.33,129,30,12,4966
130,2021-12-15,35,33303.55,48.79,33254.759999999995,239,31,12,4923
131,2023-07-15,86,3975.78,5.13,3970.65,178,37,16,4995
132,2022-11-14,97,42010.7,27.38,41983.32000000001,132,40,18,4954
133,2022-07-28,50,47576.5,262.55,47313.95,133,35,12,4923
134,2022-04-18,24,1109.52,9.13,1100.39,134,29,12,4949
135,2022-03-02,77,35503.93,28.64,35475.29,135,24,15,4977
136,2023-06-23,56,55727.28,51.81,55675.47,136,35,12,4973
137,2023-05-05,30,8058.3,47.64,8010.66,137,31,16,4991
138,2022-03-24,33,1525.59,11.65,1513.9399999999998,138,32,15,4949
139,2022-04-09,45,39278.25,188.1,39090.15,1199,28,16,4966
140,2022-06-14,93,64485.27,167.95,64317.32,140,22,15,4990
141,2023-06-19,27,6178.139999999999,17.54,6160.599999999999,141,24,12,4967
142,2023-07-19,87,75937.95,228.53,75709.42,142,15,17,4966
143,2022-01-14,13,3491.9300000000003,46.02,3445.9100000000003,143,31,15,4991
144,2022-09-29,48,44654.4,11.34,44643.06,144,15,10,4998
145,2022-07-28,64,2958.72,3.62,2955.1,145,34,12,4949
146,2023-06-28,97,90239.1,59.84,90179.26,146,15,17,4998
147,2023-06-18,48,20788.800000000003,104.37,20684.430000000004,147,34,18,4954
148,2022-04-11,50,49756.5,65.18,49691.32,148,13,10,4973
149,02-21-2023,96,63364.8,159.62,63205.17999999999,149,13,10,4996
150,2022-04-22,23,1564.23,20.04,1544.19,150,31,16,4974
151,2023-01-25,46,19863.72,91.12,19772.6,151,30,12,4982
152,2023-05-01,42,35592.06,176.99,35415.07,152,22,12,4994
153,2023-02-05,58,48731.02,86.96,48644.060000000005,153,24,17,4976
154,09-06-2023,57,47890.83,0.85,47889.98,154,30,12,4976
155,2022-05-03,96,21966.72,30.39,21936.33,155,36,17,4967
156,2022-11-22,81,37348.29,114.7,37233.59,156,26,12,4977
157,2023-01-29,67,62330.1,263.1,62067.0,157,38,17,4998
158,2023-03-16,32,11648.32,17.98,11630.34,158,29,12,4956
159,2021-12-10,85,56104.24999999999,6.12,56098.12999999999,159,36,17,4996
160,2022-10-24,59,37884.49,143.95,37740.54,160,21,12,4997
161,2023-05-01,92,24712.120000000003,44.23,24667.890000000003,161,29,10,4995
162,2022-04-18,6,3914.1,174.31,3739.79,162,31,12,4989
163,2022-02-03,74,62709.82,228.11,62481.71,163,22,15,4994
164,2021-12-24,76,48800.36,181.03,48619.33,164,30,12,4995
165,2021-11-07,62,22568.62,88.97,22479.65,165,37,16,4956
166,03-02-2023,60,52371.0,67.88,52303.12,166,26,16,4966
167,2022-04-10,21,1428.21,7.75,1420.46,167,28,18,4974
168,2021-11-19,92,6256.92,7.01,6249.91,168,26,17,4974
169,2023-07-01,7,1601.74,4.22,1597.52,169,24,12,4967
170,2022-01-21,57,26282.13,75.09,26207.04,170,30,17,4977
171,2022-01-13,5,3466.95,10.52,3456.43,171,34,16,4990
172,2022-04-04,58,37764.38,170.06,37594.32,172,29,12,4963
173,2022-05-04,27,17336.97,151.22,17185.75,173,31,18,4997
174,2023-04-07,16,11094.24,191.27,10902.97,174,29,12,4990
175,2022-10-08,97,96527.61,260.46,96267.15,175,22,15,4973
176,2022-03-29,42,15288.42,81.35,15207.07,176,35,17,4956
177,2022-11-04,57,37622.85,105.11,37517.74,177,28,15,4996
178,2022-01-07,70,3236.1,4.05,3232.05,178,22,18,4949
179,2023-08-09,50,18200.5,36.27,18164.23,179,26,15,4956
180,2023-04-13,63,14415.66,50.54,14365.12,180,32,18,4967
181,2023-02-14,41,34447.79,129.28,34318.51,181,27,18,4976
182,2021-12-11,68,29363.76,114.3,29249.46,182,13,15,4982
183,2023-06-09,69,29883.9,4.96,29878.94,183,21,12,4954
184,2023-07-03,89,77683.65000000001,54.29,77629.36000000002,184,33,10,4966
185,10-30-2021,98,63808.78,163.79,63644.99,185,28,12,4995
186,2023-01-31,25,21004.75,190.03,20814.72,186,29,16,4976
187,2021-11-11,4,272.04,0.06,271.98,187,39,10,4974
188,01-26-2023,71,46863.55,56.82,46806.73,188,33,10,4996
189,10-06-2022,25,21185.75,240.12,20945.63,189,38,17,4994
190,2021-10-15,82,35409.24,14.98,35394.259999999995,190,35,10,4982
191,2023-02-21,55,48006.75,67.43,47939.32,191,26,17,4966
192,2022-12-10,42,19365.78,60.64,19305.14,2324,39,18,4977
193,2021-11-28,16,14884.8,108.56,14776.24,193,31,12,4998
194,2022-01-25,37,25655.43,142.09,25513.34,194,37,16,4990
195,2022-10-23,39,14196.39,92.25,14104.14,195,27,15,4956
196,2022-10-27,81,52739.91,123.3,52616.61,196,39,18,4963
197,2022-12-02,25,9664.25,67.35,9596.9,197,31,10,4999
198,2023-09-02,30,19533.3,66.15,19467.15,198,31,16,4963
199,2023-02-22,19,16584.15,167.77,16416.38,199,21,16,4966
200,2023-02-24,15,14926.95,241.66,14685.29,200,30,12,4973
201,2022-11-28,12,5533.08,59.21,5473.87,201,32,17,4977
202,2023-04-01,88,56505.68,185.41,56320.27,202,30,12,4997
203,2022-09-07,45,19489.5,11.56,19477.94,203,21,12,4954
204,2023-04-25,53,46261.05,51.44,46209.61,204,35,12,4966
205,06-13-2022,85,55344.35,169.45,55174.9,205,15,15,4963
206,2023-06-26,62,26772.84,12.3,26760.54,206,28,18,4995
207,2022-12-06,57,13042.74,50.21,12992.53,207,38,16,4967
208,2023-09-23,79,21220.19,37.92,21182.270000000004,208,27,16,4991
209,2022-05-04,94,36337.58,103.49,36234.09,209,13,10,4999
210,2023-09-22,33,28804.05,202.58,28601.47,2527,33,12,4966
211,2023-08-21,50,21655.0,100.91,21554.09,211,22,16,4954
212,2023-02-19,100,65235.0,109.86,65125.14,212,29,16,4989
213,2023-02-10,29,25312.65,157.99,25154.66,213,36,10,4966
214,2022-09-27,99,64582.65,117.01,64465.64,214,22,12,4989
215,2022-11-01,80,5440.8,13.39,5427.41,215,13,12,4974
216,2022-09-18,61,40263.05,25.45,40237.6,216,31,18,4996
217,2022-10-08,71,45589.81,80.45,45509.36,217,36,17,4997
218,2022-11-10,76,27664.76,98.42,27566.34,218,13,10,4956
219,2022-07-21,14,3760.54,62.41,3698.13,219,24,12,4995
220,11-13-2022,88,58084.4,50.63,58033.77,220,32,16,4996
221,2022-05-20,39,16840.98,93.42,16747.56,221,22,10,4982
222,2021-11-09,25,6715.25,46.98,6668.27,222,21,10,4995
223,2022-11-06,28,23728.04,70.78,23657.26,223,26,16,4994
224,2022-01-12,53,46261.05,4.94,46256.11,224,35,17,4966
225,09-29-2021,20,13867.8,129.32,13738.48,225,27,17,4990
226,2022-03-20,11,2954.71,41.5,2913.21,226,38,15,4991
227,2022-10-17,12,10082.28,75.56,10006.72,227,37,17,4976
228,2022-04-03,81,70700.85,212.09,70488.76000000001,228,28,10,4966
229,2023-08-05,28,23728.04,122.03,23606.01,229,34,10,4994
230,11-24-2021,38,24742.18,29.41,24712.77,230,30,15,4995
231,2023-04-01,81,18534.42,48.53,18485.89,231,28,10,4967
232,2022-03-20,35,1618.05,7.6,1610.45,232,13,18,4949
233,2022-06-09,65,41737.15,105.74,41631.41,233,27,17,4997
234,2023-09-12,54,35226.9,26.56,35200.340000000004,234,35,16,4989
235,2023-02-07,15,10400.85,97.92,10302.93,235,13,10,4990
236,2022-08-04,96,80658.24,191.04,80467.20000000001,236,21,10,4976
237,2022-11-28,33,12756.81,48.52,12708.29,237,27,10,4999
238,2022-05-20,94,36337.58,58.07,36279.51,238,30,17,4999
239,2022-01-22,75,34581.75,48.75,34533.0,239,38,10,4977
240,09-08-2022,49,11212.18,12.41,11199.77,240,37,16,4967
241,2021-11-01,14,6063.400000000001,19.83,6043.570000000001,241,35,10,4954
242,2022-04-08,37,25655.43,207.85,25447.58,242,13,17,4990
243,2021-11-26,88,20136.16,43.78,20092.38,243,36,10,4967
244,2021-11-19,33,21527.55,96.19,21431.36,244,32,12,4995
245,2022-09-25,68,26286.76,68.83,26217.93,245,35,17,4999
246,2023-07-26,100,43310.0,18.8,43291.2,246,21,12,4954
247,04-04-2023,81,34977.42,51.01,34926.41,4369,24,10,4982
248,2021-10-22,3,1159.71,31.97,1127.74,248,29,15,4999
249,2023-08-23,90,6120.900000000001,8.08,6112.820000000001,249,38,15,4974
250,2022-06-20,85,72031.55,89.39,71942.16,250,21,16,4994
251,2022-01-15,39,38810.07,264.79,38545.28,251,35,18,4973
252,2022-11-08,75,20145.75,61.96,20083.79,252,24,18,4995
253,2023-06-08,94,36337.58,9.72,36327.86,802,38,15,4999
254,2022-04-09,33,7551.059999999999,24.35,7526.709999999999,254,31,15,4967
255,2022-03-20,60,59707.8,25.88,59681.920000000006,255,21,17,4973
256,2022-05-11,5,3210.55,146.41,3064.1400000000003,256,34,10,4997
257,2022-11-08,18,4118.76,41.78,4076.98,257,38,15,4967
258,2023-06-11,82,29848.82,10.92,29837.9,258,35,15,4956
259,2022-12-16,75,17161.5,5.7,17155.8,259,30,18,4967
260,2023-05-06,83,30212.83,35.24,30177.59,260,24,16,4956
261,2022-08-14,53,36749.67,138.23,36611.44,261,26,16,4990
262,2021-11-26,55,25359.95,8.03,25351.92,262,22,12,4977
263,2022-07-30,17,7362.700000000001,17.25,7345.450000000001,263,26,17,4954
264,2022-07-16,97,42010.7,58.99,41951.71000000001,264,13,15,4995
265,04-09-2023,3,2542.29,51.53,2490.76,265,33,12,4994
266,2021-10-09,6,5084.58,134.3,4950.28,266,13,10,4994
267,04-26-2022,75,63014.25000000001,125.01,62889.240000000005,4179,33,16,4976
268,2022-10-23,69,29795.58,31.51,29764.07,268,22,16,4982
269,2021-09-29,62,42990.18,95.97,42894.21,269,22,10,4995
270,06-08-2023,28,26642.84,38.9,26603.94,270,35,18,4923
271,2023-04-15,94,89443.81999999999,107.03,89336.79,271,38,12,4923
272,2021-10-29,31,7093.42,25.68,7067.74,1068,33,16,4967
273,2021-12-24,35,30549.75,60.92,30488.83,273,24,17,4966
274,2022-06-07,8,2912.08,102.57,2809.51,274,37,18,4956
275,2022-10-03,78,50084.58,128.33,49956.25,275,40,17,4997
276,2022-11-15,81,31312.17,2.4,31309.77,276,33,17,4999
277,2023-05-05,25,16308.75,157.45,16151.3,277,28,10,4989
278,2023-02-15,92,21051.44,52.36,20999.08,278,22,17,4967
279,2021-11-13,29,10556.29,6.81,10549.48,279,39,18,4956
280,2022-05-23,56,36531.6,114.92,36416.68,280,24,17,4989
281,2022-11-18,21,20897.73,102.95,20794.78,281,36,16,4995
282,2022-05-14,67,17996.870000000003,8.07,17988.800000000003,282,38,18,4991
283,2023-04-04,2,1284.22,190.4,1093.82,283,28,12,4997
284,10-24-2021,20,7731.4,69.73,7661.67,284,32,18,4999
285,2023-03-04,8,5547.12,137.02,5410.099999999999,285,34,15,4990
286,2023-02-16,28,10823.96,81.24,10742.72,286,38,18,4999
287,2021-12-08,82,76284.59999999999,189.6,76094.99999999999,287,37,17,4998
288,2023-07-01,27,6178.139999999999,53.14,6124.999999999999,288,13,16,4967
289,2023-07-11,7,4620.349999999999,154.16,4466.19,289,30,17,4996
290,2023-05-29,94,87448.2,183.48,87264.72,290,40,15,4998
291,2023-06-20,82,53391.02,160.17,53230.850000000006,291,27,17,4963
292,2023-02-24,96,89308.79999999999,159.42,89149.37999999999,292,34,15,4998
293,2022-07-28,21,4805.22,65.96,4739.26,293,38,12,4967
294,2022-07-01,16,10560.8,51.46,10509.34,294,22,16,4996
295,2022-10-22,73,46874.03,147.07,46726.96,295,30,15,4997
296,2022-02-17,1,268.61,27.42,241.19,296,31,15,4991
297,2022-09-05,39,8923.98,67.54,8856.439999999999,297,39,16,4967
298,2022-05-16,20,7280.2,107.33,7172.87,298,26,16,4956
299,2023-09-08,44,38405.4,165.66,38239.74,299,34,15,4966
300,2023-08-10,74,47516.14,137.03,47379.11,300,33,16,4997
301,2022-11-27,99,4576.77,0.85,4575.919999999999,301,24,12,4949
302,2022-07-30,73,28219.61,16.49,28203.12,302,15,15,4999
303,2022-01-23,24,16641.36,190.47,16450.89,303,30,12,4990
304,2023-03-22,52,36056.28,44.89,36011.39,304,30,16,4990
305,2022-02-19,100,26861.0,10.37,26850.63,305,27,16,4991
306,2023-05-01,80,52804.0,6.66,52797.34,306,31,18,4996
307,2023-04-25,85,39192.65,112.87,39079.78,307,37,15,4977
308,2023-08-01,99,92099.7,183.63,91916.07,308,33,18,4995
309,2023-02-23,68,43663.48,16.14,43647.34,309,29,15,4997
310,2022-05-18,95,61855.45,26.91,61828.54,310,15,17,4963
311,2023-01-05,91,35177.87,105.3,35072.57,311,33,17,4999
312,2022-09-04,75,49503.75,109.79,49393.96,312,33,10,4996
313,2022-08-13,66,25513.62,50.93,25462.69,567,40,18,4999
314,2023-04-27,81,3744.63,4.82,3739.81,314,15,16,4949
315,2023-02-09,14,11762.66,41.15,11721.51,315,15,15,4976
316,2023-01-25,43,28382.15,89.04,28293.11,316,15,12,4996
317,01-07-2023,79,50726.69,158.18,50568.51,317,36,15,4997
318,2023-01-20,90,41498.1,126.98,41371.12,318,31,10,4995
319,2022-06-03,78,72563.4,113.37,72450.03,319,38,18,4998
320,2022-03-13,89,38545.9,102.45,38443.45,320,33,16,4954
321,2022-06-28,99,98517.87,218.15,98299.72,321,31,10,4973
322,2023-05-14,80,5440.8,17.79,5423.01,322,26,17,4995
323,2022-08-10,57,20748.57,102.09,20646.48,1027,29,16,4956
324,2022-10-04,75,32386.5,19.13,32367.37,324,30,16,4982
325,02-23-2023,15,693.4499999999999,4.12,689.3299999999999,325,33,17,4949
326,2021-12-05,91,58432.01,133.1,58298.91,326,39,16,4997
327,2022-09-18,1,840.19,161.52,678.6700000000001,327,37,18,4976
328,2023-07-16,74,3421.02,9.71,3411.31,328,29,12,4949
329,2022-10-10,9,6240.51,5.51,6235.0,329,13,15,4990
330,2022-08-29,69,64190.7,102.06,64088.64,330,21,15,4998
331,2022-08-22,72,66981.59999999999,12.41,66969.18999999999,331,24,15,4998
332,2021-10-25,44,19000.08,97.74,18902.34,3138,13,17,4982
333,2023-08-06,60,21840.6,82.72,21757.88,333,39,12,4956
334,2022-03-14,42,27398.7,151.38,27247.32,334,27,17,4989
335,2023-03-04,69,47843.91,48.92,47794.99,335,13,17,4990
336,2021-11-19,43,28051.05,2.71,28048.34,336,38,18,4989
337,05-10-2023,45,29355.75,38.01,29317.74,337,35,12,4989
338,2022-05-16,4,3721.2,169.24,3551.96,338,36,18,4995
339,2023-03-05,35,8008.7,29.75,7978.95,339,29,15,4995
340,2022-07-14,13,5025.41,11.46,5013.95,340,29,12,4999
341,2022-12-01,94,61204.34,189.37,61014.97,341,27,15,4963
342,2022-12-22,100,6801.000000000001,6.14,6794.860000000001,342,29,17,4974
343,2022-08-18,42,35592.06,26.1,35565.96,343,40,12,4994
344,04-03-2023,61,51693.23,193.87,51499.35999999999,344,37,15,4994
345,2022-03-02,31,11983.67,83.1,11900.57,345,32,10,4999
346,2022-05-23,45,16380.45,75.01,16305.44,346,32,18,4956
347,2022-07-25,92,35564.44,18.8,35545.64,347,28,18,4999
348,2021-10-07,40,37212.0,278.43,36933.57,348,21,16,4998
349,2023-05-27,97,37497.29,20.96,37476.33,349,15,17,4999
350,2021-10-30,50,33002.5,93.72,32908.78,350,22,10,4995
351,2022-01-18,10,2288.2,18.98,2269.22,351,33,18,4967
352,2022-12-07,92,63791.88,29.91,63761.97,4374,37,16,4990
353,2022-09-16,56,15042.16,56.66,14985.5,2398,28,16,4991
354,2022-02-01,50,32617.5,13.41,32604.09,354,28,17,4989
355,2022-08-24,78,5304.780000000001,16.55,5288.2300000000005,355,40,15,4974
356,2022-07-23,73,3374.79,0.3,3374.49,3378,34,15,4949
357,2022-03-16,28,1904.28,16.75,1887.53,357,33,16,4974
358,2022-01-26,10,3865.7,37.0,3828.7,358,27,12,4999
359,2022-12-19,89,6052.89,17.51,6035.38,359,32,10,4974
360,2022-05-03,58,53957.4,236.27,53721.13,360,30,15,4995
361,2023-04-03,95,36724.15,20.3,36703.85,361,34,16,4995
362,2023-06-04,61,60702.93,223.97,60478.96,362,28,15,4973
363,2023-04-21,69,44305.59,119.89,44185.7,363,35,10,4997
364,2023-02-10,57,13042.74,58.56,12984.18,364,31,12,4995
365,2023-07-08,55,48006.75,56.48,47950.27,365,21,15,4966
366,2022-05-13,72,46969.2,168.5,46800.7,366,40,15,4989
367,2023-08-21,14,9707.46,171.48,9535.98,367,34,12,4990
368,2022-02-07,65,45070.35,79.68,44990.67,368,15,16,4990
369,2022-06-28,79,54777.81,139.47,54638.34,369,34,18,4990
370,2022-02-28,91,4206.929999999999,7.83,4199.099999999999,370,24,18,4949
371,03-05-2022,42,27346.62,170.38,27176.24,371,36,17,4963
372,2022-05-18,39,32767.410000000003,240.7,32526.710000000003,372,32,15,4976
373,2022-06-15,57,26282.13,62.12,26220.01,373,37,16,4977
374,2021-12-25,19,5103.59,57.31,5046.28,374,15,12,4991
375,2022-04-07,4,3389.72,163.29,3226.43,375,37,16,4994
376,2023-08-19,36,1664.28,6.57,1657.71,376,15,16,4949
377,2022-12-10,10,6600.5,117.59,6482.91,377,32,17,4996
378,2023-06-17,4,2773.56,57.06,2716.5,378,31,10,4990
379,2023-06-05,26,9464.26,58.17,9406.09,379,15,12,4956
380,2021-11-29,60,25986.0,77.4,25908.6,380,31,10,4954
381,2022-12-12,56,24181.92,22.22,24159.7,381,21,10,4982
382,2022-07-08,1,642.11,95.52,546.59,382,39,18,4997
383,2022-04-27,31,29497.43,129.01,29368.42,383,30,16,4923
384,2023-04-24,63,16922.43,35.58,16886.85,384,28,16,4991
385,2023-07-01,52,45388.2,188.88,45199.32000000001,385,36,10,4966
386,2023-08-31,91,77116.12999999999,12.89,77103.23999999999,386,22,17,4994
387,02-16-2023,61,56748.3,32.72,56715.58,387,27,16,4998
388,2022-04-03,87,5916.870000000001,18.13,5898.740000000001,388,36,15,4974
389,2021-10-14,100,87285.0,248.39,87036.61,389,30,16,4966
390,2022-09-07,57,22034.49,4.83,22029.66,3127,37,18,4999
391,12-03-2021,5,2159.1,42.28,2116.82,391,35,18,4982
392,2023-09-10,28,1904.28,10.81,1893.4700000000005,392,29,17,4974
393,2022-01-26,57,54237.21,237.19,54000.02,393,33,15,4923
394,2023-01-23,100,43310.0,89.34,43220.66,394,33,12,4954
395,2023-02-10,15,5798.55,114.94,5683.610000000001,395,37,18,4999
396,2023-02-17,53,24437.77,93.32,24344.45,396,34,18,4977
397,2023-02-19,92,91551.96,198.23,91353.73,397,31,12,4973
398,05-09-2022,80,52188.0,97.43,52090.57,398,15,12,4989
399,07-05-2023,42,29122.38,50.93,29071.45,399,38,16,4990
